Parkplätze
Sensor          LED
3               1
4               2
9               3
10              4
11              5
1               12
8               13
16              14
14              15
13              16
19              19
18              20
17              21
5               22
6               23
28              30
27              31
21              32
22              33
23              34
32              37
36              38
35              39
34              40
33              41
31              47
40              48
29              49
37              50
39              51

   
    
12, 10, 1, 2, 22, 23, 11, 13, 3, 4, 5, 7, 16, 15, 18, 14, 21, 20, 19, 28, 32, 33, 34, 25, 35, 42, 31, 30, 49, 46, 47, 37, 41, 40, 39, 38, 50, 43, 51, 48,
